CustomerID,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
100001,452,France,Male,58,3,168575.95,1,0,0,73841.34,1
100002,785,Sweden,Male,62,5,133120.3,2,1,1,98479.68,1
100003,698,Netherlands,Male,43,9,180355.52,1,1,0,156942.4,0
100004,620,China,Male,64,5,35319.51,2,1,1,183843.51,0
100005,456,Spain,Male,49,9,52995.62,4,0,1,45936.43,0
100006,421,France,Female,27,2,204683.75,1,0,1,185249.82,1
100007,538,New Zealand,Female,33,8,80631.99,1,1,1,142168.68,0
100008,370,China,Female,24,9,5723.46,1,1,1,126046.44,0
100009,452,China,Female,34,10,38447.79,2,1,1,47969.84,0
100010,471,Canada,Female,40,1,55903.61,1,1,0,20549.76,0
100011,816,Spain,Male,43,5,239330.72,1,0,1,118008.33,0
100012,564,UK,Male,38,6,143260.36,1,1,0,133787.98,1
100013,680,USA,Female,39,8,233182.69,2,0,1,50048.48,0
100014,808,Singapore,Male,24,2,143790.84,1,1,0,115726.68,0
100015,437,Germany,Female,31,9,119838.61,2,1,1,172733.75,0
100016,722,USA,Female,32,2,78431.92,2,1,0,168662.53,0
100017,449,India,Male,70,6,151592.74,1,1,1,186197.48,1
100018,709,Singapore,Male,24,3,34799.51,2,0,0,79518.3,0
100019,501,Singapore,Male,26,7,224565.41,1,1,1,70429.42,0
100020,480,Mexico,Female,68,6,207333.1,2,1,1,152390.94,0
100021,499,Japan,Male,65,4,79382.86,2,1,0,91911.36,1
100022,658,Brazil,Female,25,6,238199.38,2,0,1,26634.25,0
100023,607,Netherlands,Female,67,2,206300.19,1,1,1,63732.21,1
100024,693,Netherlands,Female,40,1,166576.72,1,1,1,89530.63,0
100025,841,New Zealand,Male,46,5,30440.48,1,0,0,65578.12,0
100026,763,Singapore,Male,35,1,119558.51,1,1,0,73119.06,0
100027,643,Sweden,Female,48,2,126526.89,1,1,0,65817.42,1
100028,735,UK,Male,47,5,58137.84,1,1,0,17884.84,0
100029,541,Australia,Male,69,4,19991.35,1,0,1,131047.99,0
100030,793,New Zealand,Male,56,7,194180.91,1,0,0,123485.56,1
100031,626,France,Female,52,8,30508.76,2,0,1,134142.86,0
100032,510,Italy,Female,35,10,148572.69,1,1,0,46538.88,0
100033,809,France,Male,59,2,234112.29,1,1,1,66174.36,0
100034,663,South Africa,Female,56,9,219026.3,1,0,1,127727.03,0
100035,371,Canada,Male,34,2,69438.16,1,1,1,123929.24,0
100036,602,Switzerland,Male,31,2,212862.16,3,1,0,106202.76,0
